exp_id,subject_id,cre_line,depth,num_seqs,num_ROIs,num_timepoints
588191926,301125,Rbp4-Cre_KL100,375,628,29,56617
582918858,297504,Sst-IRES-Cre,350,628,17,56606
612549085,327595,Sst-IRES-Cre,375,628,16,56609
503412730,222425,Cux2-CreERT2,175,628,119,56752
601910964,317644,Vip-IRES-Cre,175,628,11,56754
637669284,340467,Slc17a7-IRES2-Cre,175,628,82,56624
606353987,326489,Vip-IRES-Cre,175,628,13,56753
643062797,340378,Sst-IRES-Cre,375,628,11,56622
511534603,231953,Scnn1a-Tg3-Cre,350,628,213,56619
672211004,369496,Pvalb-IRES-Cre,275,628,11,56759
539290504,257786,Nr5a1-Cre,350,628,45,56750
702934964,382421,Cux2-CreERT2,275,628,140,56625
560898462,280639,Emx1-IRES-Cre,175,628,176,56759
573083539,291465,Rbp4-Cre_KL100,375,628,48,56765
603187982,317098,Vip-IRES-Cre,175,628,14,56774
530645663,246775,Scnn1a-Tg3-Cre,350,628,109,56741
526504941,237706,Emx1-IRES-Cre,175,628,167,56750
561312435,280638,Emx1-IRES-Cre,275,628,302,56611
664404274,361807,Slc17a7-IRES2-Cre,375,628,136,56615
562711440,271732,Nr5a1-Cre,350,628,27,56607
577379202,296891,Sst-IRES-Cre,375,628,6,56753
710502981,389531,Cux2-CreERT2,275,628,213,56622
569792817,284669,Emx1-IRES-Cre,375,628,53,56609
580043440,297504,Sst-IRES-Cre,275,628,10,56610
662351164,360566,Cux2-CreERT2,175,628,82,56622
573720508,297620,Sst-IRES-Cre,275,628,10,56616
599909878,315562,Sst-IRES-Cre,300,628,11,56769
674679019,374201,Fezf2-CreER,390,628,80,56623
603188560,321822,Sst-IRES-Cre,275,628,10,56759
560920977,271727,Nr5a1-Cre,335,628,23,56598
645256361,347748,Slc17a7-IRES2-Cre,275,628,137,56628
508753256,231951,Scnn1a-Tg3-Cre,275,628,130,56643
673475020,369496,Pvalb-IRES-Cre,275,628,12,56750
547388708,262562,Scnn1a-Tg3-Cre,350,628,110,58258
669233895,370773,Ntsr1-Cre_GN220,625,628,104,56763
575939366,297620,Sst-IRES-Cre,350,628,5,56609
701046700,385254,Slc17a7-IRES2-Cre,275,628,82,56760
657224241,357433,Vip-IRES-Cre,175,628,25,56752
573850303,291865,Rbp4-Cre_KL100,375,628,28,56762
593373156,309689,Nr5a1-Cre,350,628,14,56759
569457162,284417,Rorb-IRES2-Cre,275,628,36,56749
657009581,354087,Vip-IRES-Cre,275,628,8,56616
512164988,231585,Cux2-CreERT2,275,628,286,56614
571541565,283278,Cux2-CreERT2,175,628,112,56766
504115289,222424,Cux2-CreERT2,175,628,94,56616
504568756,226219,Rbp4-Cre_KL100,375,628,96,56618
580013262,296704,Emx1-IRES-Cre,275,628,235,56611
502962794,226219,Rbp4-Cre_KL100,375,628,79,56621
657390171,354087,Vip-IRES-Cre,175,628,9,56617
512326618,233215,Cux2-CreERT2,275,628,240,56613
576273468,296710,Vip-IRES-Cre,275,628,15,56620
512270518,234831,Rorb-IRES2-Cre,275,628,90,56754
587344053,304756,Rorb-IRES2-Cre,275,628,237,56623
569896493,284417,Rorb-IRES2-Cre,275,628,43,56757
671618887,369495,Pvalb-IRES-Cre,275,628,16,58302
652096183,355474,Slc17a7-IRES2-Cre,375,628,120,58275
696156783,379899,Vip-IRES-Cre,275,628,17,58296
501933264,225036,Cux2-CreERT2,175,628,217,56622
712178483,388804,Pvalb-IRES-Cre,275,628,6,56622
580051759,300663,Rbp4-Cre_KL100,375,628,13,56754
691197571,379348,Vip-IRES-Cre,275,628,21,56769
575970700,296708,Emx1-IRES-Cre,275,628,168,56624
670721589,366424,Slc17a7-IRES2-Cre,375,628,126,56623
647143225,348105,Ntsr1-Cre_GN220,550,628,72,56609
707006626,382421,Cux2-CreERT2,175,628,35,56623
602866800,317644,Vip-IRES-Cre,275,628,8,56756
643645390,337458,Tlx3-Cre_PL56,375,628,127,56621
663485329,365255,Slc17a7-IRES2-Cre,175,628,107,58270
647598519,351413,Vip-IRES-Cre,175,628,18,56612
505845219,229109,Cux2-CreERT2,275,628,232,56616
601805379,316777,Sst-IRES-Cre,375,628,9,56754
659491419,361002,Nr5a1-Cre,350,628,35,56764
707923645,384940,Slc17a7-IRES2-Cre,175,628,192,56762
529688779,244898,Cux2-CreERT2,275,628,115,56753
502115959,222424,Cux2-CreERT2,175,628,205,56616
653126877,355474,Slc17a7-IRES2-Cre,175,628,75,58278
548379748,261969,Nr5a1-Cre,350,628,29,56747
686442556,377629,Sst-IRES-Cre,250,628,14,56620
651769499,350509,Vip-IRES-Cre,275,628,6,56755
601423209,315122,Sst-IRES-Cre,275,628,10,56763
589755795,306500,Sst-IRES-Cre,375,628,5,56613
612534310,332396,Sst-IRES-Cre,275,628,15,56771
528402271,237706,Emx1-IRES-Cre,275,628,209,56751
692345336,379345,Vip-IRES-Cre,275,628,14,58288
558476282,271727,Nr5a1-Cre,350,628,50,56746
601841437,315562,Sst-IRES-Cre,375,628,5,56757
562536153,280639,Emx1-IRES-Cre,375,628,123,56745
601368107,315298,Rbp4-Cre_KL100,375,628,11,56612
639932847,339839,Fezf2-CreER,400,628,103,56622
555040116,271750,Rbp4-Cre_KL100,375,628,91,56742
589441079,306500,Sst-IRES-Cre,275,628,22,56611
665726618,370773,Ntsr1-Cre_GN220,570,628,4,58254
669237515,370767,Ntsr1-Cre_GN220,625,628,61,56750
596509886,306506,Sst-IRES-Cre,275,628,17,56630
554037270,270341,Nr5a1-Cre,350,628,46,56739
507129766,229482,Rorb-IRES2-Cre,275,628,52,56755
550455111,260936,Emx1-IRES-Cre,175,628,148,56614
686449092,379345,Vip-IRES-Cre,175,628,16,58303
593552712,308148,Cux2-CreERT2,275,628,125,56758
649401936,352161,Rbp4-Cre_KL100,375,628,55,56609
585035184,301048,Emx1-IRES-Cre,275,628,102,58278
